train_period,arima_bruteforce,sarima_bruteforce
2020-01-02to2021-01-05,2.191565750090828,2.026598479155957
2020-01-31to2021-02-04,6.547565660490267,3.3648019664343263
2020-03-02to2021-03-05,1.895971344575557,2.4263621243012423
2020-04-01to2021-04-08,8.171556627882607,6.392069655493057
2020-05-07to2021-05-11,2.107377626660904,1.2145970799558532
2020-06-08to2021-06-10,1.4041359364009793,2.232371475938402
2020-07-07to2021-07-12,0.9298469298745871,1.4230493237280963
2020-08-05to2021-08-11,7.203229448029583,7.900123436437453
2020-09-03to2021-09-13,2.884088134420633,1.4703145402815567
2020-10-05to2021-10-12,5.8233734013013665,3.7630228659438587
2020-11-03to2021-11-15,1.710610577393365,1.3321897527069495
2020-12-04to2021-12-15,3.0181938433710065,4.605061456555596
2021-01-05to2022-01-13,3.8690412183443517,2.8249732023986156
2021-02-04to2022-02-14,4.267911035936099,3.6742512847841877
2021-03-05to2022-03-16,1.3099429289080224,1.7921574960491045
2021-04-08to2022-04-19,1.9406420598650898,1.7898311755303271
2021-05-11to2022-05-19,2.6016464460435866,2.702014129925335
2021-06-10to2022-06-17,3.1873883118502637,3.310921124924085
2021-07-12to2022-07-18,7.593155888203837,6.104447053524894
2021-08-11to2022-08-19,6.244334289286091,6.476255175524903
2021-09-13to2022-09-20,2.1653215724560098,1.1900408190271512
2021-10-12to2022-10-20,3.4430981222005386,2.7987189445677756
2021-11-15to2022-11-23,1.9947962211077097,1.999714957997984
2021-12-15to2022-12-22,3.5497958250690314,3.0824795294427316
2022-01-13to2023-01-30,1.9383928690837504,1.8070205586819112
2022-02-14to2023-03-01,4.48194106833192,4.974029166819086
2022-03-16to2023-04-03,1.1241951829801597,1.1183522561252908
2022-04-19to2023-05-09,1.063793979560829,0.8714900759602274
2022-05-19to2023-06-08,1.1395097693065848,1.1416568323584773
2022-06-17to2023-07-11,4.11851473794186,4.162119390718416
2022-07-18to2023-08-09,2.1937642278009393,1.0975139244394125
2022-08-19to2023-09-11,2.615259764944931,2.6705218591871693
2022-09-20to2023-10-12,4.511409075949284,3.955137804667154
2022-10-20to2023-11-17,2.0694700246023228,2.6515157246296135
2022-11-23to2023-12-19,1.7531250873470756,1.4970296402332146
2022-12-22to2024-01-19,2.651943944316389,3.410804429091976
2023-01-30to2024-02-22,1.61408191254382,1.5880145791523383
2023-03-01to2024-03-26,1.5336794831920268,1.2479224735602137
2023-04-03to2024-04-29,1.3575395688910232,1.037926903206433
2023-05-09to2024-05-31,3.531590855404252,3.524343442513417
2023-06-08to2024-07-02,3.910093780556166,4.364735326851045
2023-07-11to2024-08-01,2.3688606359476294,3.351381645020285
2023-08-09to2024-09-04,3.4908839244689407,2.6271507224262405
2023-09-11to2024-10-04,4.175229143399338,3.2717327537998186
2023-10-12to2024-11-06,2.8808392357572283,2.9575348396808088
2023-11-17to2024-12-09,6.132058055383418,4.834068107470007
2023-12-19to2025-01-10,2.0617032919370994,1.8846459888082738
